,aRarity,mRarity
25001,53.4,20.87
25002,375.68,136.78
25003,97.28,82.89
25004,127.96,51.77
25005,81.79,47.28
25006,268.58,55.74
25007,45.36,16.52
25008,133.59,29.06
25009,69.31,61.26
25010,76.88,44.48
25011,69.72,26.96
25012,117.38,67.61
25013,62.39,28.07
25014,137.48,96.23
25015,119.91,37.66
25016,79.2,35.3
25017,60.09,14.39
25018,62.11,17.59
25019,100.0,94.34
25020,70.16,24.18
25021,96.54,31.7
25022,159.33,84.04
25023,69.68,39.78
25024,47.08,18.52
25025,96.07,22.7
25026,92.68,75.06
25027,93.57,41.69
25028,60.31,17.43
25029,80.62,51.68
25030,83.23,37.97
25031,87.62,20.29
25032,565.0,288.85
25033,229.42,39.17
25034,179.87,47.6
25035,62.27,30.96
25036,86.88,54.25
25037,56.51,17.54
25038,146.79,261.86
25039,56.14,14.07
25040,69.91,21.18
25041,65.27,22.94
25042,68.83,37.83
25043,73.08,46.69
25044,68.25,25.21
25045,68.53,38.96
25046,66.72,26.89
25047,73.32,49.47
25048,64.15,21.08
25049,51.15,19.28
25050,62.84,35.14
25051,54.31,29.11
25052,124.11,47.42
25053,282.42,39.02
25054,89.83,39.82
25055,54.37,24.0
25056,94.36,123.06
25057,60.25,33.15
25058,121.22,120.12
25059,76.63,31.58
25060,114.47,136.05
25061,113.26,84.38
25062,62.67,37.33
25063,78.4,30.6
25064,212.33,84.22
25065,76.89,45.24
25066,37.96,7.7
25067,93.8,18.51
25068,77.92,34.48
25069,52.55,19.47
25070,83.53,36.55
25071,53.74,15.14
25072,82.94,82.8
25073,48.77,11.79
25074,45.36,16.52
25075,108.23,21.02
25076,75.72,32.65
25077,71.39,36.63
25078,260.84,96.1
25079,110.31,66.51
25080,88.69,81.63
25081,142.4,59.97
25082,93.61,95.54
25083,100.97,126.25
25084,280.5,74.49
25085,92.0,29.03
25086,201.2,39.96
25087,89.1,25.46
25088,90.49,67.23
25089,63.76,25.92
25090,176.03,11.66
25091,65.11,22.2
25092,284.37,85.61
25093,104.8,35.53
25094,86.34,21.9
25095,96.68,31.64
25096,77.79,53.26
