,rarity
75001,173.763
75002,63.249
75003,282.082
75004,124.85
75005,67.918
75006,71.953
75007,99.793
75008,238.118
75009,89.456
75010,72.937
75011,69.042
75012,82.702
75013,121.44
75014,101.571
75015,242.483
75016,76.128
75017,72.082
75018,146.15
75019,130.415
75020,84.101
75021,87.081
75022,105.183
75023,74.157
75024,197.209
75025,290.731
75026,70.824
75027,87.894
75028,76.236
75029,106.102
75030,81.572
75031,58.707
75032,82.537
75033,112.813
75034,110.647
75035,171.888
75036,128.075
75037,52.296
75038,63.218
75039,120.394
75040,67.835
75041,66.531
75042,117.563
75043,89.484
75044,120.022
75045,83.183
75046,84.581
75047,126.959
75048,109.254
75049,105.987
75050,58.856
75051,351.936
75052,238.974
75053,100.881
75054,76.564
75055,224.455
75056,127.722
75057,88.15
75058,127.558
75059,96.856
75060,72.456
75061,102.583
75062,1723.125
75063,75.98
75064,92.379
75065,66.589
75066,133.788
75067,76.194
75068,151.433
75069,63.732
75070,128.599
75071,66.761
75072,67.114
75073,122.507
75074,95.449
75075,137.894
75076,81.738
75077,145.659
75078,72.377
75079,117.305
75080,83.661
75081,80.07
75082,81.935
75083,83.932
75084,93.357
75085,117.821
75086,101.84
75087,66.458
75088,197.695
75089,119.582
75090,96.052
75091,185.793
75092,105.277
75093,59.106
75094,66.833
75095,87.175
75096,101.837
75097,102.821
75098,74.254
75099,222.84
75100,103.914
75101,141.589
75102,137.75
75103,139.284
75104,180.059
75105,97.397
75106,89.596
75107,265.362
75108,64.437
75109,199.827
75110,72.516
75111,102.866
75112,98.384
75113,748.315
75114,94.565
75115,75.156
75116,225.914
75117,74.584
75118,153.95
75119,117.575
75120,125.732
75121,117.334
75122,302.969
75123,67.049
75124,134.221
75125,125.821
75126,107.332
75127,60.536
75128,95.476
75129,81.029
75130,65.962
75131,241.558
75132,94.631
75133,59.146
75134,82.248
75135,557.735
75136,184.809
75137,101.108
75138,97.803
75139,74.106
75140,51.082
75141,100.015
75142,70.907
75143,193.105
75144,57.529
75145,66.72
75146,214.824
75147,142.644
75148,208.895
75149,92.142
75150,112.495
75151,99.824
75152,163.087
75153,59.691
75154,96.17
75155,81.698
75156,63.112
75157,106.937
75158,72.424
75159,65.449
75160,93.391
75161,82.891
75162,99.022
75163,54.83
75164,76.443
75165,66.548
75166,60.625
75167,134.075
75168,72.647
75169,70.834
75170,300.234
75171,94.352
75172,425.406
75173,74.214
75174,344.869
75175,256.998
75176,66.129
75177,117.688
75178,246.79
75179,85.527
75180,386.313
75181,56.279
75182,156.453
75183,180.689
75184,64.858
75185,67.09
75186,129.306
75187,90.626
75188,73.069
75189,134.513
75190,136.548
75191,140.718
75192,208.471
75193,78.183
75194,84.554
75195,91.848
75196,191.519
75197,96.348
75198,84.763
75199,68.373
75200,125.632
75201,437.814
75202,75.582
75203,101.037
75204,58.592
75205,110.317
75206,123.198
75207,54.007
75208,123.72
75209,60.978
75210,75.899
75211,147.18
75212,84.969
75213,87.38
75214,83.003
75215,74.238
75216,72.171
75217,160.549
75218,74.793
75219,115.994
75220,73.599
75221,77.215
75222,85.921
75223,84.066
75224,82.478
75225,86.672
75226,82.703
75227,116.058
75228,80.891
75229,281.816
75230,79.081
75231,83.97
75232,207.606
75233,224.693
75234,108.509
75235,388.941
75236,56.212
75237,102.687
75238,70.734
75239,109.12
75240,203.511
75241,65.649
75242,87.025
75243,61.168
75244,108.679
75245,113.721
75246,78.43
75247,87.279
75248,90.782
75249,152.795
75250,88.505
75251,142.089
75252,91.456
75253,66.783
75254,102.126
75255,79.958
75256,120.249
75257,117.261
75258,83.261
75259,57.879
75260,135.664
75261,93.249
75262,146.001
75263,72.137
75264,282.15
75265,77.712
75266,63.415
75267,565.684
75268,62.015
75269,244.419
75270,337.048
75271,216.667
75272,314.121
75273,89.156
75274,89.091
75275,88.355
75276,78.332
75277,89.284
75278,71.874
75279,118.885
75280,758.601
75281,95.591
75282,65.346
75283,345.749
75284,284.158
75285,83.896
75286,96.276
75287,149.406
75288,86.943
75289,153.716
75290,222.594
75291,73.334
75292,83.754
75293,151.137
75294,84.281
75295,80.096
75296,69.896
75297,175.622
75298,181.253
75299,70.291
75300,131.47
75301,92.601
75302,122.691
75303,66.877
75304,88.761
75305,87.428
75306,83.749
75307,79.213
75308,528.048
75309,94.955
75310,71.96
75311,63.027
75312,106.22
75313,75.085
75314,120.19
75315,110.875
75316,79.325
75317,66.774
75318,106.453
75319,242.068
75320,96.547
75321,120.397
75322,83.953
75323,93.46
75324,63.787
75325,72.203
75326,123.62
75327,69.962
75328,83.187
75329,81.33
75330,84.586
75331,79.965
75332,67.0
75333,102.864
75334,66.001
75335,79.34
75336,89.566
75337,106.965
75338,66.557
75339,79.36
75340,110.762
75341,66.268
75342,108.153
75343,147.793
75344,99.509
75345,238.961
75346,74.097
75347,237.418
75348,65.937
75349,73.539
75350,60.951
75351,141.992
75352,136.418
75353,70.807
75354,130.366
75355,170.815
75356,73.879
75357,61.943
75358,99.821
75359,79.359
75360,94.743
75361,89.195
75362,136.741
75363,218.492
75364,72.945
75365,103.143
75366,113.112
75367,90.652
75368,151.37
75369,103.943
75370,103.522
75371,70.745
75372,77.155
75373,69.321
75374,63.749
75375,191.641
75376,120.629
75377,85.498
75378,88.784
75379,167.556
75380,62.84
75381,120.994
75382,75.367
75383,108.696
75384,94.298
75385,80.679
75386,84.743
75387,78.138
75388,121.751
75389,97.313
75390,320.558
75391,93.159
75392,59.419
75393,80.103
75394,111.9
75395,94.018
75396,96.047
75397,105.244
75398,103.492
75399,50.906
75400,95.805
75401,90.836
75402,236.407
75403,100.766
75404,242.761
75405,60.33
75406,67.255
75407,54.32
75408,62.297
75409,66.805
75410,64.196
75411,87.287
75412,70.702
75413,124.388
75414,103.93
75415,85.192
75416,172.237
75417,100.582
75418,100.755
75419,130.133
75420,73.531
75421,77.884
75422,94.615
75423,132.912
75424,68.48
75425,92.048
75426,856.014
75427,217.779
75428,92.808
75429,82.214
75430,103.852
75431,270.994
75432,248.632
75433,67.715
75434,122.086
75435,74.323
75436,115.255
75437,91.514
75438,128.54
75439,73.308
75440,86.285
75441,206.403
75442,110.959
75443,106.532
75444,58.714
75445,69.674
75446,72.176
75447,196.304
75448,165.286
75449,107.426
75450,101.499
75451,75.571
75452,64.692
75453,95.89
75454,258.602
75455,237.159
75456,83.239
75457,62.242
75458,80.324
75459,86.264
75460,72.13
75461,172.09
75462,88.054
