,aRarity,mRarity
1,4.2,0.38
2,8.84,0.73
3,6.95,0.49
4,9.41,0.58
5,9.97,0.54
6,9.54,0.54
7,72.16,1.43
8,8.28,0.44
9,18.0,0.74
10,7.5,0.37
11,9.56,0.42
12,10.28,0.77
13,6.13,0.37
14,7.88,0.42
15,11.07,0.5
16,7.51,0.67
17,8.78,0.45
18,54.2,1.15
19,8.0,0.56
20,6.78,0.26
21,10.49,0.46
22,7.11,0.5
23,40.78,1.21
24,16.87,0.85
25,8.43,0.51
26,5.23,0.37
27,8.15,0.53
28,24.42,0.67
29,6.18,0.51
30,13.67,0.6
31,7.33,0.42
32,27.74,0.92
33,10.88,0.81
34,9.24,0.56
35,4.2,0.38
36,5.46,0.3
37,31.88,1.23
38,8.29,0.68
39,37.93,0.83
40,52.41,0.89
41,11.36,1.04
42,9.55,0.48
43,12.92,0.64
44,8.65,0.48
45,5.53,0.35
46,10.61,0.81
47,7.06,0.53
48,7.08,0.54
49,7.63,0.4
50,8.15,0.43
51,9.76,0.59
52,5.94,0.41
53,8.41,0.35
54,9.22,0.74
55,7.19,0.43
56,11.65,0.59
57,7.94,0.37
58,34.0,1.04
59,4.84,0.48
60,11.59,1.01
61,77.44,1.97
62,6.18,0.5
63,28.62,0.84
64,13.6,0.65
65,6.81,0.42
66,10.18,0.68
67,13.12,1.0
68,7.99,0.58
69,7.18,0.5
70,14.44,0.82
71,7.68,0.47
72,7.32,0.48
73,7.41,0.56
74,8.45,0.73
75,12.95,0.94
76,11.58,0.58
77,9.9,0.61
78,26.83,0.88
79,8.76,0.41
80,7.19,0.31
81,7.01,0.52
82,8.05,0.38
83,7.91,0.53
84,5.04,0.44
85,10.98,0.61
86,8.85,0.44
87,29.29,1.07
88,7.55,0.36
89,6.28,0.43
90,10.5,0.93
91,15.5,0.67
92,9.15,0.46
93,9.14,0.6
94,5.22,0.47
95,8.75,0.5
96,7.36,0.36
97,12.63,0.96
98,56.59,0.75
99,48.52,0.9
100,7.49,0.59
101,8.62,0.6
102,6.95,0.41
103,9.2,0.77
104,10.2,0.56
105,8.23,0.42
106,33.63,1.19
107,5.72,0.31
108,8.03,0.52
109,20.59,1.54
110,7.71,0.44
111,12.44,0.72
112,7.55,0.42
113,7.22,0.42
114,17.56,1.0
115,7.07,0.53
116,10.51,0.94
117,9.39,0.74
118,7.41,0.45
119,8.96,0.55
120,10.21,0.63
121,7.31,0.64
122,8.56,0.45
123,7.88,0.51
124,8.83,0.56
125,20.2,0.87
126,5.39,0.4
127,10.54,0.66
128,7.8,0.44
129,4.99,0.36
130,9.19,0.4
131,7.91,0.47
132,37.69,1.02
133,50.6,0.83
134,31.29,1.35
135,19.44,0.59
136,18.66,0.85
137,10.2,0.66
138,35.77,0.8
139,5.21,0.37
140,9.49,0.61
141,7.21,0.46
142,23.02,0.64
143,6.3,0.64
144,5.75,0.54
145,9.93,0.63
146,9.58,0.75
147,12.65,0.96
148,6.4,0.5
149,7.43,0.55
150,13.63,0.63
151,7.13,0.44
152,5.99,0.49
153,8.14,0.68
154,12.65,0.65
155,15.32,0.85
156,6.65,0.41
157,11.37,0.93
158,7.69,0.56
159,7.64,0.67
160,28.58,1.08
161,9.34,0.52
162,7.01,0.34
163,19.95,1.21
164,6.8,0.51
165,5.53,0.4
166,5.47,0.38
167,6.61,0.42
168,6.72,0.5
169,7.2,0.62
170,8.6,0.53
171,6.23,0.42
172,9.52,0.41
173,24.41,1.02
174,6.55,0.44
175,8.56,0.5
176,9.6,0.48
177,4.4,0.33
178,6.62,0.49
179,7.67,0.83
180,6.2,0.4
181,7.49,0.47
182,46.34,0.97
183,7.39,0.39
184,6.18,0.59
185,7.98,0.82
186,11.34,0.6
187,17.14,1.24
188,10.09,0.62
189,9.6,0.37
190,15.04,1.1
191,10.56,0.73
192,6.37,0.33
193,12.0,0.65
194,4.07,0.35
195,9.32,0.35
196,6.54,0.64
197,8.73,0.67
198,8.21,0.53
199,11.06,0.78
200,4.96,0.44
201,17.78,0.69
202,7.52,0.45
203,11.97,0.73
204,8.63,0.46
205,5.86,0.3
206,6.82,0.42
207,7.35,0.45
208,6.76,0.52
209,10.25,0.68
210,14.47,0.67
211,6.92,0.39
212,7.9,0.64
213,7.78,0.62
214,10.64,0.57
215,13.59,0.96
216,9.54,0.53
217,7.12,0.53
218,10.09,0.7
219,6.27,0.43
220,23.52,1.63
221,8.18,0.6
222,5.38,0.48
223,9.8,0.67
224,58.26,0.8
