,aRarity,mRarity
2,211.39,24272.62
6,253.4,41143.79
22,295.65,151160.49
41,284.01,108160.72
43,267.25,31067.98
45,240.56,58551.96
46,240.42,26483.99
55,312.86,150507.37
57,238.63,185942.27
109,934.38,2653616.51
124,219.74,64071.83
137,340.62,273861.62
215,247.35,169814.5
226,252.88,85665.34
227,246.96,98854.49
251,248.3,62433.8
254,233.13,96796.21
260,384.39,64033.87
264,213.98,53776.55
280,376.15,129848.3
283,246.44,79565.15
287,494.8,2570227.81
291,513.71,265913.08
329,350.37,225139.26
334,233.43,74432.36
337,302.1,364186.7
341,234.13,40382.2
393,215.41,40063.35
414,308.72,224022.21
439,1121.12,650501.63
440,175.91,17668.36
442,2803.03,59112.22
449,308.4,156196.43
454,235.14,49047.49
463,306.16,171948.22
481,203.86,50120.48
485,235.95,128365.65
498,978.39,1363142.81
542,364.84,324934.36
551,810.17,750218.2
587,459.58,251479.29
589,755.71,339995.04
620,490.73,120453.3
623,412.46,121124.19
628,243.19,45385.05
629,296.18,108795.42
632,214.09,45136.97
635,310.91,63856.77
638,218.51,49249.58
641,210.55,22674.62
642,194.16,36364.23
651,823.78,65978.68
652,231.12,113424.79
667,360.66,617030.61
669,927.0,261307.59
681,255.74,184212.46
686,381.29,522896.37
698,395.45,781590.13
713,217.27,44151.8
714,834.33,3353526.6
719,403.54,1322809.82
742,224.28,41601.25
756,457.99,86631.03
781,234.33,173435.71
806,441.8,414803.58
815,529.42,540427.38
816,206.54,35385.15
826,717.83,614287.14
831,192.39,35749.51
842,355.55,97076.09
855,1777.64,1254166.56
862,239.89,110710.7
877,389.41,625234.56
879,224.56,117864.96
899,188.09,24806.87
900,419.57,220066.62
922,293.62,897945.9
924,374.4,247550.03
928,535.07,121251.78
931,212.03,52279.82
939,355.65,171702.14
946,581.14,149987.89
954,281.01,98814.25
960,352.08,324250.58
970,238.05,138970.98
971,200.38,17391.32
972,171.68,14997.78
984,407.78,509450.13
986,199.22,44938.14
1006,261.29,140505.57
1016,215.04,35296.85
1032,877.26,343473.23
1034,273.41,94554.41
1036,200.17,27711.84
1056,177.89,12299.6
1058,276.24,201288.74
1078,363.8,379201.19
1082,345.17,142173.81
1090,537.67,531779.5
1096,358.05,306082.88
1100,280.79,81017.23
1103,1165.42,2186839.33
1108,242.5,130782.57
1109,504.17,373410.36
1113,2140.56,982850.22
1131,359.18,11719.78
1141,307.88,71549.66
1155,219.99,129083.09
1164,403.26,169784.57
1171,242.91,96692.63
1182,286.28,142281.74
1196,501.96,380928.76
1197,645.4,253478.7
1204,244.98,88257.95
1209,606.48,378352.06
1213,259.12,109371.05
1237,377.83,281553.51
1239,604.7,815588.64
1247,220.46,19737.58
1255,269.73,125151.13
1259,1779.75,807274.86
1260,318.25,310893.37
1267,627.93,1051543.78
1269,1389.96,1121389.73
1283,665.36,786856.11
1298,192.44,47097.98
1299,196.28,51137.13
1307,250.99,77755.31
1318,838.17,245677.58
1319,1153.98,15610330.88
1320,348.68,185537.22
1332,311.9,182493.81
1338,429.6,68931.32
1339,211.62,37489.69
1352,338.26,312067.1
1353,424.21,195145.54
1355,240.32,123677.82
1363,201.01,20883.49
1384,567.29,896160.76
1386,207.56,14768.73
1388,819.97,50318.53
1400,261.45,156054.79
1401,393.42,172483.44
1402,318.0,154400.33
1407,185.8,57305.96
1438,235.68,39660.37
1447,268.43,155603.14
1450,197.17,45431.17
1451,255.0,116960.58
1456,191.92,44860.71
1469,645.44,1123318.54
1481,435.55,63311.73
1487,159.78,13526.93
1513,345.97,104497.81
1517,224.28,125113.34
1525,275.28,16439.36
1529,188.97,23420.69
1531,2136.46,545583.43
1554,263.15,32052.43
1560,615.95,897937.92
1576,389.82,53567.27
1578,261.39,100078.34
1594,281.19,199003.43
1595,269.08,194218.65
1597,215.05,18943.58
1610,371.42,124853.56
1618,264.0,33999.68
1626,2582.17,1614680.1
1642,278.92,51491.84
1647,312.14,169290.48
1654,246.7,101559.17
1672,158.11,13110.96
1675,690.04,215747.78
1679,287.26,122939.89
1680,492.93,561888.19
1684,413.01,331858.71
1713,239.86,78919.33
1716,218.84,61092.83
1729,290.7,34300.13
1735,1779.01,2012103.31
1736,751.32,1758052.34
1742,175.72,32735.65
1745,285.63,280450.86
1753,638.73,1451730.89
1759,289.23,108231.6
1762,250.78,132438.09
1772,241.13,28336.97
1793,277.19,125548.6
1819,2091.08,1647513.82
1822,270.11,93290.28
1829,270.31,196135.84
1846,266.25,36532.08
1871,298.01,132463.31
1873,220.29,65787.08
1876,455.08,1550844.23
1884,1018.19,11228589.74
1901,191.79,43417.65
1902,456.05,353511.12
1918,279.09,116127.31
1921,204.03,44242.92
1927,218.1,39801.07
1929,314.14,337793.69
1946,482.8,759523.17
1948,286.22,370736.56
1955,292.72,140496.27
1957,295.32,222941.75
1960,188.74,43042.24
1968,581.65,133495.91
1980,421.09,42625.65
1998,629.14,4838618.29
2010,506.21,180999.01
2028,183.12,17011.79
2035,480.91,337037.12
2063,478.68,727057.39
2071,600.52,417104.43
2073,328.83,209628.81
2075,200.4,51246.36
2085,294.71,49379.1
2109,218.05,43449.09
2124,335.22,302580.5
2147,229.29,53541.43
2157,277.8,82981.84
2158,395.91,430232.49
2162,238.86,21054.73
2164,212.7,93407.33
2173,591.74,462773.01
2175,304.72,170770.94
2179,219.81,25234.93
2180,479.0,243550.89
2181,304.16,410936.07
2182,228.59,19017.96
2213,198.95,20166.65
2229,393.49,82432.9
2240,268.57,78328.08
2249,206.56,47376.86
2259,268.58,86598.86
2269,338.21,546670.42
2272,217.57,57564.75
2273,243.1,72590.11
2287,221.01,51186.72
2292,481.39,100717.13
2294,201.42,35954.45
2301,192.6,32936.9
2313,464.01,516182.79
2314,293.48,213188.49
2320,227.82,51999.48
2323,286.84,29093.65
2324,275.16,69131.21
2327,238.73,98338.3
2328,275.61,124214.22
2345,195.07,33545.68
2374,389.26,528854.19
2384,279.22,82677.28
2387,265.9,99231.51
2410,219.74,27829.95
2413,232.64,38270.49
2418,271.86,101392.54
2420,238.66,96031.9
