,aRarity,mRarity
1,68.61,23.42
11,70.38,6.8
12,1032.29,243.87
13,250.57,620.6
14,85.93,44.23
15,94.4,16.24
16,83.8,23.04
17,118.65,33.56
20,126.57,20.98
26,401.33,117.68
28,88.6,19.47
29,268.19,342.47
31,89.95,15.22
34,126.67,25.23
40,1781.65,148.39
44,235.14,243.45
47,71.96,7.6
48,74.68,19.18
49,453.51,36.06
50,83.6,17.46
51,620.6,204.61
52,124.03,98.46
53,656.12,458.69
54,66.49,10.95
56,194.42,42.97
58,109.74,49.57
59,131.91,301.33
87,1019.35,95.87
90,644.28,528.79
98,141.15,158.4
103,149.63,67.25
115,79.1,2.79
122,70.81,6.35
123,103.06,42.45
125,95.08,55.01
126,126.52,52.78
131,870.29,26.85
132,595.29,791.65
133,33.44,1.06
134,159.84,133.84
135,117.96,16.86
138,200.67,4859.21
139,123.54,57.56
141,337.45,234.93
142,168.22,161.88
168,317.45,26.69
191,93.36,15.37
193,135.8,80.14
194,5303.1,72.4
195,169.55,219.08
209,430.61,497.32
210,536.72,133.9
211,502.95,522.18
212,123.32,13.54
213,153.56,130.94
214,88.17,13.98
216,503.0,6799.24
217,359.07,612.25
218,168.52,22.97
219,66.81,11.43
220,112.31,110.02
221,111.46,4.58
222,102.2,8.59
223,84.3,80.76
224,144.89,75.99
225,151.59,40.35
232,2728.69,115.34
234,422.01,1869.09
235,215.33,300.47
236,148.79,269.16
237,110.56,4.58
238,87.02,37.6
242,129.62,38.08
243,190.69,549.6
245,140.05,48.38
248,140.66,29.79
249,221.03,27.98
250,133.63,32.91
252,120.66,55.2
253,127.38,131.51
255,91.45,55.71
256,186.6,2445.85
257,164.17,398.37
258,197.84,41.48
259,456.97,42.58
261,719.14,16.6
262,142.97,277.24
263,154.72,530.06
265,108.33,71.65
266,219.92,194.54
267,1297.95,175.24
270,180.43,66.01
271,110.13,64.77
272,48.17,2.67
275,216.9,577.22
276,427.23,221.32
278,124.17,37.78
279,83.51,36.46
281,460.29,3062.73
282,647.73,121.63
284,100.88,29.2
285,138.72,200.77
